도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
진잠도서관,대전광역시,유성구,공공도서관,월+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,117,83137,56,2050,5,14,대전광역시 유성구 진잠로160번길 19(원내동),대전광역시 유성구청,042-611-6590,1913.0,2591.0,http://lib.yuseong.go.kr/,36.30315562,127.3197685,2023-06-13,3670000,대전광역시 유성구
자두꽃작은도서관,경상북도,김천시,작은도서관,월+공휴일,13:00,18:00,13:00,18:00,00:00,00:00,25,15584,11,0,7,15,경상북도 김천시 신양1길 22,경상북도 김천시청,054-437-5870,,122.0,www.gcl.go.kr,36.1353004128,128.1158550452,2023-05-18,5060000,경상북도 김천시
큰숲작은도서관,경상북도,김천시,작은도서관,월+공휴일,13:00,18:00,13:00,18:00,00:00,00:00,32,14064,11,0,7,15,경상북도 김천시 영남대로 2040-20,경상북도 김천시청,054-435-7830,,174.0,www.gcl.go.kr,36.116781779,128.1486350724,2023-05-18,5060000,경상북도 김천시
기장도서관,부산광역시,기장군,공공도서관,매주 월요일+국가공휴일,07:00,23:59,07:00,23:59,00:00,00:00,524,183618,68,5911,5,14,부산광역시 기장군 기장읍 차성동로126번길 13-5,부산광역시 기장군청,051-709-5351,3370.0,2513.75,http://library.gijang.go.kr/gijang/main.do,35.24968318,129.2173047,2023-05-16,3400000,부산광역시 기장군
정관도서관,부산광역시,기장군,공공도서관,연중무휴(자료실 휴실 : 신정 명절연휴 매월 둘째 월요일),07:00,23:59,07:00,23:59,07:00,23:59,977,209012,83,7276,5,14,부산광역시 기장군 정관읍 정관중앙로100,부산광역시 기장군청,051-709-3901,8000.0,7371.33,http://library.gijang.go.kr/jglib/main.do,35.32529082,129.1817313,2023-05-16,3400000,부산광역시 기장군
정관어린이도서관,부산광역시,기장군,공공도서관,매주 화요일+국가공휴일,09:00,22:00,09:00,18:00,00:00,00:00,136,44610,33,1495,5,14,부산광역시 기장군 정관읍 정관8로 11,부산광역시 기장군청,051-709-5386,22770.2,827.95,http://library.gijang.go.kr/jgchildlib/main.do,35.32389937,129.177611,2023-05-16,3400000,부산광역시 기장군
대라다목적도서관,부산광역시,기장군,공공도서관,매주 화요일+국가공휴일,09:00,22:00,09:00,18:00,00:00,00:00,265,43499,28,0,5,14,부산광역시 기장군 기장읍 차성서로86,부산광역시 기장군청,051-709-3961,668.0,982.79,http://library.gijang.go.kr/daera/main.do,35.24079915,129.2105922,2023-05-16,3400000,부산광역시 기장군
내리새라도서관,부산광역시,기장군,공공도서관,매주 월요일+국가공휴일,09:00,22:00,09:00,18:00,00:00,00:00,183,20575,27,0,5,14,부산광역시 기장군 기장읍 기장대로51,부산광역시 기장군청,051-709-3967,1000.0,714.01,https://library.gijang.go.kr/naeri/main.do,35.20182015,129.2061857,2023-05-16,3400000,부산광역시 기장군
고촌어울림도서관,부산광역시,기장군,공공도서관,매주 월요일+국가공휴일,09:00,22:00,09:00,18:00,00:00,00:00,194,21537,32,0,5,14,부산광역시 기장군 철마면 고촌로51,부산광역시 기장군청,051-709-5381,700.0,710.9,https://library.gijang.go.kr/gochon/main.do,35.23872961,129.1686978,2023-05-16,3400000,부산광역시 기장군
교리도서관,부산광역시,기장군,공공도서관,매주 월요일+국가공휴일,09:00,22:00,09:00,18:00,00:00,00:00,160,22907,20,0,5,14,부산광역시 기장군 기장읍 차성로417번길 11,부산광역시 기장군청,051-709-5375,5714.0,1045.92,https://library.gijang.go.kr/gyori/main.do,35.25512522,129.2151737,2023-05-16,3400000,부산광역시 기장군
정약용도서관,경기도,남양주시,공공도서관,첫째·셋째 금요일+1월 1일+설날·추석 연휴(대체공휴일 포함),09:00,22:00,09:00,18:00,09:00,18:00,560,209359,89,10576,20,14,경기도 남양주시 다산중앙로82번안길 138,경기도 남양주시청,031-590-2587,21501.0,12807.0,http://lib.nyj.go.kr/jyy,37.61215767,127.1673571,2023-04-30,3990000,경기도 남양주시
와부도서관,경기도,남양주시,공공도서관,둘째·넷째 금요일+1월 1일+설날·추석 연휴(대체공휴일 포함),09:00,22:00,09:00,22:00,09:00,22:00,430,140750,95,6221,20,14,경기도 남양주시 와부읍 월문천로 43,경기도 남양주시청,031-590-8920,3920.0,4010.0,http://lib.nyj.go.kr/waboo,37.5856854,127.2174983,2023-04-30,3990000,경기도 남양주시
화도도서관,경기도,남양주시,공공도서관,첫째·셋째 금요일+1월 1일+설날·추석 연휴(대체공휴일 포함),09:00,22:00,09:00,22:00,09:00,22:00,328,129560,97,3083,20,14,경기도 남양주시 화도읍 수레로1260번길 33,경기도 남양주시청,031-590-4587,596.0,2667.0,http://lib.nyj.go.kr/hwado,37.6501371,127.3058147,2023-04-30,3990000,경기도 남양주시
진건도서관,경기도,남양주시,공공도서관,둘째·넷째 금요일+1월 1일+설날·추석 연휴(대체공휴일 포함),09:00,22:00,09:00,22:00,09:00,22:00,263,102055,88,4201,20,14,경기도 남양주시 진건읍 진건오남로 41-25,경기도 남양주시청,031-590-8260,1322.0,2848.0,http://lib.nyj.go.kr/jingeon,37.6551356,127.1774389,2023-04-30,3990000,경기도 남양주시
평내도서관,경기도,남양주시,공공도서관,첫째·셋째 월요일+1월 1일+설날·추석 연휴(대체공휴일 포함),09:00,22:00,09:00,22:00,09:00,22:00,303,122330,88,2637,20,14,경기도 남양주시 의안로 134,경기도 남양주시청,031-590-8562,3172.0,6307.0,http://lib.nyj.go.kr/pynae,37.6417431,127.2388903,2023-04-30,3990000,경기도 남양주시
김산고을작은도서관,경상북도,김천시,작은도서관,월+공휴일,13:00,18:00,13:00,18:00,00:00,00:00,31,18699,11,0,7,15,경상북도 김천시 삼락택지길 132,경상북도 김천시청,054-439-7870,,192.0,www.gcl.go.kr,36.1427705486,128.0992748506,2023-05-18,5060000,경상북도 김천시
호평도서관,경기도,남양주시,공공도서관,둘째·넷째 월요일+1월 1일+설날·추석 연휴(대체공휴일 포함),09:00,22:00,09:00,22:00,09:00,22:00,286,65288,97,751,20,14,경기도 남양주시 천마산로 67,경기도 남양주시청,031-590-8340,788.0,1956.0,http://lib.nyj.go.kr/hp,37.66764367,127.2480045,2023-04-30,3990000,경기도 남양주시
별내도서관,경기도,남양주시,공공도서관,둘째·넷째 금요일+1월 1일+설날·추석 연휴(대체공휴일 포함),09:00,22:00,09:00,22:00,09:00,22:00,329,119441,92,5128,20,14,경기도 남양주시 별내면 청학로 86-1,경기도 남양주시청,031-590-8808,2501.0,3215.0,http://lib.nyj.go.kr/bnae,37.7083499,127.1178283,2023-04-30,3990000,경기도 남양주시
진접도서관,경기도,남양주시,공공도서관,첫째·셋째 월요일+1월 1일+설날·추석 연휴(대체공휴일 포함),09:00,22:00,09:00,22:00,09:00,22:00,614,101090,90,1774,20,14,경기도 남양주시 진접읍 금강로 1554-11,경기도 남양주시청,031-590-5310,3250.0,4426.0,http://lib.nyj.go.kr/jinjeop,37.7296018,127.1941965,2023-04-30,3990000,경기도 남양주시
진접푸른숲도서관,경기도,남양주시,공공도서관,둘째·넷째 월요일+1월 1일+설날·추석 연휴(대체공휴일 포함),09:00,22:00,09:00,22:00,09:00,22:00,549,100538,92,2129,20,14,경기도 남양주시 진접읍 해밀예당2로 35,경기도 남양주시청,031-590-5330,6663.0,5352.0,http://lib.nyj.go.kr/jinjeopgw,37.7156893,127.1929216,2023-04-30,3990000,경기도 남양주시
오남도서관,경기도,남양주시,공공도서관,첫째·셋째 금요일+1월 1일+설날·추석 연휴(대체공휴일 포함),09:00,22:00,09:00,22:00,09:00,22:00,312,122425,90,3179,20,14,경기도 남양주시 오남읍 양지로240번길 12,경기도 남양주시청,031-590-8531,3000.0,5454.0,http://lib.nyj.go.kr/onam,37.6979608,127.1978694,2023-04-30,3990000,경기도 남양주시
퇴계원도서관,경기도,남양주시,공공도서관,둘째·넷째 월요일+1월 1일+설날·추석 연휴(대체공휴일 포함),09:00,22:00,09:00,22:00,09:00,22:00,256,93859,93,3042,20,14,경기도 남양주시 퇴계원읍 도제원로 12,경기도 남양주시청,031-590-3910,1012.0,2893.0,http://lib.nyj.go.kr/toegyewon,37.6491214,127.1452884,2023-04-30,3990000,경기도 남양주시
별빛도서관,경기도,남양주시,공공도서관,첫째·셋째 월요일+1월 1일+설날·추석 연휴(대체공휴일 포함),09:00,22:00,09:00,22:00,09:00,22:00,596,91555,95,1418,20,14,경기도 남양주시 별내중앙로 102,경기도 남양주시청,031-590-5349,4200.0,6638.0,http://lib.nyj.go.kr/bbit,37.65093701,127.1203257,2023-04-30,3990000,경기도 남양주시
중앙도서관,경기도,연천군,공공도서관,국가지정공휴일,09:00,23:00,09:00,23:00,09:00,23:00,153,106654,38,42436,10,14,경기도 연천군 전곡읍 전은길 9-26,경기도 연천군청,031-839-4414,3306.0,2094.0,http://library.yeoncheon.go.kr,38.0323136,127.0709935,2023-05-23,4140000,경기도 연천군
속초시립도서관,강원도,속초시,공공도서관,월+공휴일,09:00,22:00,09:00,18:00,00:00,00:00,300,60860,247,4618,5,14,강원도 속초시 조양로 89 (조양동),강원도 속초시청,033-631-1443,4400.0,2651.0,http://library.sokcho.go.kr/,38.18676048,128.5906558,2023-05-22,4230000,강원도 속초시
풀이음작은도서관,강원도,속초시,작은도서관,월+공휴일,09:00,22:00,09:00,18:00,00:00,00:00,48,11016,0,0,5,14,강원도 속초시 미시령로3337번길 6-15 (교동),강원도 속초시청,033-636-1484,2721.0,283.0,http://library.sokcho.go.kr/,38.20640878,128.5718215,2023-05-22,4230000,강원도 속초시
중앙도서관,충청남도,보령시,공공도서관,"매주 금요일+국가지정 공휴일, ※ 공휴일 운영시각은 00:00으로 표기함",08:00,22:00,09:00,18:00,00:00,00:00,246,111662,16,1844,5,14,충청남도 보령시 천변북길 121,충청남도 보령시청,041-930-0971,1390.0,1255.0,https://brcn.go.kr/lib/,36.35124908,126.6008951,2023-05-18,4510000,충청남도 보령시
죽정도서관,충청남도,보령시,공공도서관,"매주 화요일+국가지정 공휴일, ※ 공휴일 운영시각은 00:00으로 표기함",09:00,22:00,09:00,18:00,00:00,00:00,137,50001,11,0,5,14,충청남도 보령시 체육관길 17,충청남도 보령시청,041-930-0972,4007.0,991.0,https://brcn.go.kr/lib/,36.35774126,126.6085607,2023-05-18,4510000,충청남도 보령시
주산도서관,충청남도,보령시,공공도서관,"매주 일요일+국가지정 공휴일, ※ 공휴일 운영시각은 00:00으로 표기함",09:00,18:00,09:00,18:00,00:00,00:00,60,38705,0,0,5,14,충청남도 보령시 주산면 충서로 411,충청남도 보령시 주산면,041-930-0973,3355.0,448.0,https://brcn.go.kr/lib/,36.19943776,126.6331982,2023-05-18,4510000,충청남도 보령시
오천작은도서관,충청남도,보령시,작은도서관,"매주 일요일+매주 월요일+국가지정 공휴일, ※ 공휴일 운영시각은 00:00으로 표기함",09:00,18:00,09:00,18:00,00:00,00:00,36,8007,3,0,5,14,충청남도 보령시 오천면 충청수영로 838,충청남도 보령시청,041-930-0974,319.0,224.0,https://brcn.go.kr/lib/,36.43873108,126.5218698,2023-05-18,4510000,충청남도 보령시
대천항작은도서관,충청남도,보령시,작은도서관,"매주 일요일+매주 월요일+국가지정 공휴일, ※ 공휴일 운영시각은 00:00으로 표기함",09:00,18:00,09:00,18:00,00:00,00:00,20,3255,2,0,5,14,충청남도 보령시 대천항로 370,충청남도 보령시청,041-930-0975,6878.0,484.0,https://brcn.go.kr/lib/,36.32660911,126.5061044,2023-05-18,4510000,충청남도 보령시
청소작은도서관,충청남도,보령시,작은도서관,"매주 일요일+매주 월요일+국가지정 공휴일, ※ 공휴일 운영시각은 00:00으로 표기함",09:00,18:00,09:00,18:00,00:00,00:00,9,1496,0,0,5,14,충청남도 보령시 청소면 청소큰길 167,충청남도 보령시 청소면,041-930-0976,1434.0,31.0,https://brcn.go.kr/lib/,36.4454624,126.5895719,2023-05-18,4510000,충청남도 보령시
문화의전당작은도서관,충청남도,보령시,작은도서관,"매주 일요일+매주 월요일+국가지정 공휴일, ※ 공휴일 운영시각은 00:00으로 표기함",09:00,18:00,09:00,18:00,00:00,00:00,20,6122,0,0,5,14,충청남도 보령시 대흥로 63,충청남도 보령시청,041-930-0977,14382.0,148.0,https://brcn.go.kr/lib/,36.35071294,126.5905262,2023-05-18,4510000,충청남도 보령시
청라애작은도서관,충청남도,보령시,작은도서관,"매주 일요일+매주 월요일+국가지정 공휴일, ※ 공휴일 운영시각은 00:00으로 표기함",09:00,18:00,09:00,18:00,00:00,00:00,24,2264,0,0,5,14,충청남도 보령시 청라면 원모루길 234-1,충청남도 보령시청,041-930-0978,100.0,100.0,https://brcn.go.kr/lib/,36.38971731,126.6740658,2023-05-18,4510000,충청남도 보령시
성주고을작은도서관,충청남도,보령시,작은도서관,"매주 일요일+매주 월요일+국가지정 공휴일, ※ 공휴일 운영시각은 00:00으로 표기함",09:00,18:00,09:00,18:00,00:00,00:00,20,2583,0,0,5,14,충청남도 보령시 성주면 화장골길 110-15,충청남도 보령시청,041-930-0979,185.0,185.0,https://brcn.go.kr/lib/,36.33035904,126.6512779,2023-05-18,4510000,충청남도 보령시
사천시어린이도서관,경상남도,사천시,공공도서관,월요일,09:00,18:00,09:00,18:00,00:00,00:00,20,33966,0,6887,5,14,경상남도 사천시 사남면 조동길 49-30,경상남도 사천시청,055-831-2966,15629.0,90452.0,https://elc.sacheon.go.kr/,,,2023-05-20,5340000,경상남도 사천시
김천시립도서관,경상북도,김천시,공공도서관,월+공휴일(일 제외)+열람실은 연중 개관(신정 및 설·추석연휴 제외),09:00,18:00,09:00,17:00,09:00,17:00,759,246726,107,19549,7,15,경상북도 김천시 평화순환길 111,경상북도 김천시청,054-437-7801,18770.0,7278.0,www.gcl.go.kr,36.12333825,128.1099149,2023-05-18,5060000,경상북도 김천시
김천시립율곡도서관,경상북도,김천시,공공도서관,월+공휴일(일 제외)+열람실은 연중 개관(신정 및 설·추석연휴 제외),09:00,18:00,09:00,17:00,09:00,17:00,1162,93368,107,0,7,15,경상북도 김천시 용전1로1길 17,경상북도 김천시청,054-421-0200,8287.0,10163.0,www.gcl.go.kr,36.1221337,128.1887591,2023-05-18,5060000,경상북도 김천시
푸름찬작은도서관,경상북도,김천시,작은도서관,월+공휴일,13:00,18:00,13:00,18:00,00:00,00:00,23,14747,11,0,7,15,경상북도 김천시 아포읍 한지2길 64-9,경상북도 김천시청,054-435-7870,,142.0,www.gcl.go.kr,36.1586350352,128.2633997606,2023-05-18,5060000,경상북도 김천시
꿈앤들작은도서관,경상북도,김천시,작은도서관,월+공휴일,13:00,18:00,13:00,18:00,00:00,00:00,12,12945,11,0,7,15,경상북도 김천시 어모면 어모문화3길 28-7,경상북도 김천시청,054-437-7870,,90.0,www.gcl.go.kr,36.181619,128.116421,2023-05-18,5060000,경상북도 김천시
달봉산작은도서관,경상북도,김천시,작은도서관,월+공휴일,13:00,18:00,13:00,18:00,00:00,00:00,28,15945,11,0,7,15,경상북도 김천시 시청6길 7,경상북도 김천시청,054-433-7870,,154.0,www.gcl.go.kr,36.140953593,128.1135874283,2023-05-18,5060000,경상북도 김천시
보랏빛꿈작은도서관,경상북도,김천시,작은도서관,월+공휴일,13:00,18:00,13:00,18:00,00:00,00:00,16,15268,11,0,7,15,경상북도 김천시 부곡길 162,경상북도 김천시청,054-435-6870,,92.0,www.gcl.go.kr,36.1249948445,128.0963449402,2023-05-18,5060000,경상북도 김천시
삼산이수작은도서관,경상북도,김천시,작은도서관,월+공휴일,13:00,18:00,13:00,18:00,00:00,00:00,33,16806,11,0,7,15,경상북도 김천시 모암사랑길55,경상북도 김천시청,054-431-6870,,220.0,www.gcl.go.kr,36.1237523757,128.1260248161,2023-05-18,5060000,경상북도 김천시
고래실작은도서관,경상북도,김천시,작은도서관,월+공휴일,13:00,18:00,13:00,18:00,00:00,00:00,14,14041,11,0,7,15,경상북도 김천시 고래실3길 45-14,경상북도 김천시청,054-436-6870,,112.0,www.gcl.go.kr,36.1226018693,128.0825356477,2023-05-18,5060000,경상북도 김천시
중앙도서관,경기도,파주시,공공도서관,"1,3,5월요일",09:00,22:00,09:00,18:00,09:00,18:00,506,246197,251,6989,7,14,경기도 파주시 쇠재로 33(금촌동),중앙도서관,031-940-5651,2030.0,6516.0,https://lib.paju.go.kr/jalib,37.7500196,126.7707155,2022-10-21,4060000,경기도 파주시
금촌도서관,경기도,파주시,공공도서관,매주 월요일,08:00,22:00,08:00,20:00,08:00,20:00,68,52974,52,757,7,14,경기도 파주시 시민회관길 40(금촌동),금촌도서관,031-940-4382,1388.0,385.0,https://lib.paju.go.kr/gclib,37.7585051,126.7800448,2022-10-21,4060000,경기도 파주시
군산시립도서관(자료열람실),전라북도,군산시,공공도서관,매주 월요일 및 국가지정 공휴일(일요일 운영시간 토요일과 동일),09:00,22:00,09:00,18:00,00:00,00:00,330,166584,61,21405,5,14,전라북도 군산시 축동로 72,전라북도 군산시청,063-454-5620,2450.0,5736.0,http://lib.gunsan.go.kr,35.96608858,126.7113646,2023-03-16,4670000,전라북도 군산시
군산시립도서관(학습실),전라북도,군산시,공공도서관,"명절, 선거일",07:00,22:00,07:00,23:00,07:00,23:00,462,0,0,0,0,0,전라북도 군산시 축동로 72,전라북도 군산시청,063-454-5620,2450.0,5736.0,http://lib.gunsan.go.kr,35.96608858,126.7113646,2023-03-16,4670000,전라북도 군산시
대구학생문화센터 도서실,대구광역시,달서구,작은도서관,토+일+공휴일,09:00,18:00,00:00,00:00,00:00,00:00,70,91663,114,0,10,15,대구광역시 달서구 용산로 181,대구학생문화센터,053-231-1291,25768.0,443.0,http://www.dge.go.kr/dccs,35.85302346,128.5295222,2023-06-01,7240195,대구광역시교육청 대구학생문화센터
중앙도서관,경기도,양평군,공공도서관,"새해첫날,설,추석연휴 및 대체공휴일",09:00,22:00,09:00,18:00,09:00,18:00,280,157363,40,6536,7,14,경기도 양평군 양평읍 양근로 240-9,경기도 양평군청,031-770-2730,5236.0,1936.0,http://www.yplib.go.kr,37.48591089,127.494309,2023-05-24,4170000,경기도 양평군
어린이도서관,경기도,양평군,공공도서관,매주월/공휴일,09:00,18:00,09:00,18:00,00:00,00:00,108,66345,14,4391,7,14,경기도 양평군 양평읍 양근로 240-9,경기도 양평군청,031-770-2734,5236.0,1970.0,http://www.yplib.go.kr,37.48591089,127.4943424,2023-05-24,4170000,경기도 양평군
양서친환경도서관,경기도,양평군,공공도서관,"새해첫날,설,추석연휴 및 대체공휴일",09:00,22:00,09:00,18:00,09:00,18:00,293,76944,58,2923,7,14,경기도 양평군 양서면 양수로 110,경기도 양평군청,031-770-2596,2934.0,1497.0,http://www.yplib.go.kr,37.5425053,127.3233071,2023-05-24,4170000,경기도 양평군
용문도서관,경기도,양평군,공공도서관,"새해첫날,설,추석연휴 및 대체공휴일",09:00,22:00,09:00,18:00,09:00,18:00,264,86230,40,3271,7,14,경기도 양평군 용문면 용문로 395,경기도 양평군청,031-770-2710,1655.0,1451.0,http://www.yplib.go.kr,37.48716841,127.5962168,2023-05-24,4170000,경기도 양평군
지평도서관,경기도,양평군,공공도서관,"새해첫날,설,추석연휴 및 대체공휴일",09:00,20:00,09:00,18:00,09:00,18:00,162,42106,19,1529,7,14,경기도 양평군 지평면 지평의병로116번길 5,경기도 양평군청,031-770-2561,2215.0,1045.0,http://www.yplib.go.kr,37.47363598,127.6385713,2023-05-24,4170000,경기도 양평군
양동도서관,경기도,양평군,공공도서관,"새해첫날,설,추석연휴 및 대체공휴일",09:00,20:00,09:00,18:00,09:00,18:00,173,42178,20,2651,7,14,경기도 양평군 양동면 학둔지아래길 93,경기도 양평군청,031-770-2571,3434.0,1314.0,http://www.yplib.go.kr,37.41919108,127.7546882,2023-05-24,4170000,경기도 양평군
강상작은도서관,경기도,양평군,작은도서관,"매주일,월/공휴일",09:00,18:00,09:00,18:00,00:00,00:00,36,8848,6,98,7,14,경기도 양평군 강상면 송학길 60,경기도 양평군청,031-775-7483,3927.0,140.0,http://www.yplib.go.kr,37.480695,127.478067,2023-05-24,4170000,경기도 양평군
강하작은도서관,경기도,양평군,작은도서관,"매주일,월/공휴일",09:00,18:00,09:00,18:00,00:00,00:00,48,11343,6,149,7,14,경기도 양평군 강하면 운심길 47,경기도 양평군청,031-771-4302,634.0,179.0,http://www.yplib.go.kr,37.49617652,127.4112172,2023-05-24,4170000,경기도 양평군
고읍내작은도서관,경기도,양평군,작은도서관,"매주일,월/공휴일",09:00,18:00,09:00,18:00,00:00,00:00,66,7777,6,0,7,14,경기도 양평군 옥천면 옥천길 21,경기도 양평군청,031-771-5703,361.0,361.0,http://www.yplib.go.kr,37.51810619,127.4560503,2023-05-24,4170000,경기도 양평군
서종작은도서관,경기도,양평군,작은도서관,"매주일,월/공휴일",09:00,18:00,09:00,18:00,00:00,00:00,54,18004,7,465,7,14,경기도 양평군 서종면 북한강로 777,경기도 양평군청,031-775-8258,1852.0,203.0,http://www.yplib.go.kr,37.60658353,127.3487122,2023-05-24,4170000,경기도 양평군
청운작은도서관,경기도,양평군,작은도서관,"매주일,월/공휴일",13:00,18:00,13:00,18:00,00:00,00:00,20,8237,2,0,7,14,경기도 양평군 청운면 용두민속장터길 2,경기도 양평군청,031-775-0552,2045.0,254.0,http://www.yplib.go.kr,37.553631,127.708314,2023-05-24,4170000,경기도 양평군
개군작은도서관,경기도,양평군,작은도서관,"매주일,월/공휴일",13:00,18:00,13:00,18:00,00:00,00:00,41,6871,5,61,7,14,경기도 양평군 개군면 추읍로 37,경기도 양평군청,031-771-5624,179.0,168.0,http://www.yplib.go.kr,37.42821683,127.5422415,2023-05-24,4170000,경기도 양평군
단월작은도서관,경기도,양평군,작은도서관,"매주일,월/공휴일",13:00,18:00,13:00,18:00,00:00,00:00,48,3903,2,0,7,14,경기도 양평군 단월면 보룡길 82,경기도 양평군청,031-771-0634,165.0,165.0,http://www.yplib.go.kr,37.540818,127.6735088,2023-05-24,4170000,경기도 양평군
세미원작은도서관,경기도,양평군,작은도서관,매주 월요일,09:00,18:00,09:00,18:00,09:00,18:00,55,1256,0,0,7,14,경기도 양평군 양서면 양수로 93,경기도 양평군청,031-775-1835,110.0,110.0,http://www.yplib.go.kr,37.54093938,127.3239611,2023-05-24,4170000,경기도 양평군
중앙도서관,울산광역시,북구,공공도서관,매주월요일+법정공휴일,09:00,22:00,09:00,18:00,00:00,00:00,447,119726,85,1025,30,14,울산광역시 북구 두부곡 1길 9(연암동),울산광역시 북구,052-241-7407,992.0,2447.14,https://usbl.bukgu.ulsan.kr,35.58419071,129.3672866,2023-05-21,3720000,울산광역시 북구
염포양정도서관,울산광역시,북구,공공도서관,매주월요일+법정공휴일,09:00,22:00,09:00,18:00,00:00,00:00,124,53795,27,621,30,14,울산광역시 북구 염포로 685-1(염포동),울산광역시 북구,052-241-7450,1049.0,996.65,https://usbl.bukgu.ulsan.kr,35.5318826,129.3939096,2023-05-21,3720000,울산광역시 북구
명촌어린이도서관,울산광역시,북구,공공도서관,매주월요일+법정공휴일,09:00,21:00,09:00,18:00,00:00,00:00,122,28150,15,162,30,14,"울산광역시 북구 명촌12길 11, 4층(명촌동)",울산광역시 북구,052-241-7460,371.48,371.48,https://usbl.bukgu.ulsan.kr,35.55514051,129.3553039,2023-05-21,3720000,울산광역시 북구
매곡도서관,울산광역시,북구,공공도서관,매주월요일+법정공휴일,09:00,22:00,09:00,18:00,00:00,00:00,220,49111,89,0,30,14,울산광역시 북구 매곡로 138-19 (매곡동),울산광역시 북구,052-241-7470,3787.0,2103.77,https://usbl.bukgu.ulsan.kr,35.64650566,129.3588981,2023-05-21,3720000,울산광역시 북구
